Timestamp,Expected_Time,Accel1_X,Accel1_Y,Accel1_Z,Accel1_Magnitude,Accel2_X,Accel2_Y,Accel2_Z,Accel2_Magnitude
2025-04-16 13:41:21.506981,0.755000,-0.091485,0.333390,-0.435926,0.556372,-0.092666,0.300347,-0.483594,0.576765
2025-04-16 13:41:21.508982,0.760000,-0.058719,0.495043,-0.432644,0.660073,-0.060067,0.461178,-0.480328,0.668586
2025-04-16 13:41:21.510978,0.765000,-0.024432,0.592238,-0.209741,0.628756,-0.025953,0.557878,-0.258560,0.615430
2025-04-16 13:41:21.517981,0.770000,0.095031,0.322244,0.490681,0.594677,0.092901,0.289258,0.438299,0.533298
2025-04-16 13:41:21.533611,0.775000,0.217607,-0.250008,0.458759,0.565965,0.214853,-0.280083,0.406539,0.538407
2025-04-16 13:41:21.534796,0.780000,0.214956,-0.148770,0.504362,0.568085,0.212216,-0.179360,0.451911,0.530499
2025-04-16 13:41:21.535300,0.785000,0.213344,-0.103181,0.497949,0.551466,0.210612,-0.134003,0.445530,0.510696
2025-04-16 13:41:21.548875,0.790000,0.098100,0.180532,0.081539,0.221052,0.095955,0.148267,0.031238,0.179349
2025-04-16 13:41:21.549872,0.795000,0.087546,0.092867,0.242876,0.274367,0.085455,0.061047,0.191754,0.218630
2025-04-16 13:41:21.550870,0.800000,0.077201,-0.001086,0.372989,0.380897,0.075162,-0.032428,0.321206,0.331473
2025-04-16 13:41:21.565334,0.805000,-0.011528,-0.184146,-0.197011,0.269918,-0.013116,-0.214555,-0.245895,0.326604
2025-04-16 13:41:21.566374,0.810000,-0.012352,-0.075694,-0.018862,0.078981,-0.013935,-0.106656,-0.068652,0.127604
2025-04-16 13:41:21.585615,0.815000,0.012629,-0.133290,0.175110,0.220430,0.010919,-0.163959,0.124333,0.206060
2025-04-16 13:41:21.587142,0.820000,0.009646,-0.259350,0.366735,0.449278,0.007951,-0.289378,0.314984,0.427805
2025-04-16 13:41:21.588240,0.825000,0.006471,-0.330841,0.432716,0.544739,0.004792,-0.360504,0.380629,0.524275
2025-04-16 13:41:21.602517,0.830000,-0.105912,0.325120,-0.019270,0.342479,-0.107019,0.292119,-0.069058,0.318678
2025-04-16 13:41:21.603612,0.835000,-0.117654,0.388011,0.161453,0.436420,-0.118702,0.354690,0.110746,0.390077
2025-04-16 13:41:21.605267,0.840000,-0.135203,0.445679,0.361039,0.589287,-0.136161,0.412065,0.309317,0.532930
2025-04-16 13:41:21.618819,0.845000,-0.216678,-0.466752,-0.318668,0.605274,-0.217222,-0.495724,-0.366932,0.653886
2025-04-16 13:41:21.620034,0.850000,-0.214780,-0.532113,-0.114894,0.585213,-0.215333,-0.560752,-0.164195,0.622713
